,State or UN,Share
0,Rajasthan,10.41
1,Madhya Pradesh,9.37
2,Maharashtra,9.36
3,Uttar Pradesh,7.33
4,Gujarat,5.96
5,Karnataka,5.83
6,Andhra Pradesh,4.87
7,Odisha,4.73
8,Chhattisgarh,4.11
9,Tamil Nadu,3.95
10,Telangana,3.49
11,Jammu and Kashmir,3.11
12,Bihar,2.86
13,West Bengal,2.70
14,Arunachal Pradesh,2.54
15,Jharkhand,2.42
16,Assam,2.38
17,Himachal Pradesh,1.70
18,Uttarakhand,1.62
19,Punjab,1.53
20,Haryana,1.34
21,Kerala,1.18
22,Meghalaya,0.68
23,Manipur,0.68
24,Mizoram,0.64
25,Nagaland,0.50
26,Tripura,0.31
27,Sikkim,0.21
28,Goa,0.11
29,Andaman and Nicobar Islands,0.25
30,Delhi,0.04
31,Puducherry,0.01
32,Dadra and Nagar Haveli,0.01
33,Chandigarh,0.003
34,Daman and Diu,0.003
35,Lakshadweep,0.001
36,Disputed area (between the states),0.0007
37,India,100
